Event ID,Event time,User name,Event name,Resource type,Resources,AWS access key,AWS region,Error code,Source IP address
c44a5a87-5d6c-4d71-8e56-f7895ab28032,"2020-06-13, 04:55:18 PM",CloudTrail,PutEventSelectors,CloudTrail Trail,"[{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""Udacity_Trail""},{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""arn:aws:cloudtrail:us-east-1:926798200699:trail/Udacity_Trail""}]",,us-east-1,,78.61.164.62
de4fe23b-eadd-47ed-a88f-1ab824c0c04e,"2020-06-13, 04:55:18 PM",CloudTrail,CreateBucket,S3 Bucket,"[{""resourceType"":""AWS::S3::Bucket"",""resourceName"":""udacity-trail-logs""}]",,us-east-1,,78.61.164.62
df50720b-bdad-44b0-816f-e487acd4a279,"2020-06-13, 04:55:18 PM",CloudTrail,PutBucketPolicy,S3 Bucket,"[{""resourceType"":""AWS::S3::Bucket"",""resourceName"":""udacity-trail-logs""}]",,us-east-1,,78.61.164.62
eb795f8e-b7bc-404a-97c7-9107ab71eba8,"2020-06-13, 04:55:18 PM",CloudTrail,CreateTrail,CloudTrail Trail and 1 more,"[{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""Udacity_Trail""},{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""arn:aws:cloudtrail:us-east-1:926798200699:trail/Udacity_Trail""},{""resourceType"":""AWS::S3::Bucket"",""resourceName"":""udacity-trail-logs""}]",,us-east-1,,78.61.164.62
17205b98-e174-479d-b1ea-35efdb2649a2,"2020-06-13, 04:55:09 PM",CloudTrail,ListFunctions20150331,,,,us-east-1,,78.61.164.62
14c12a1f-42fd-49d3-99eb-4970679754a4,"2020-06-13, 04:54:34 PM",CloudTrail,DescribeTrails,,,,us-east-1,,78.61.164.62
f273f405-4e90-4575-924e-84a885a1b2b4,"2020-06-13, 04:54:21 PM",CloudTrail,DescribeOrganization,,,,us-east-1,AccessDenied,78.61.164.62
f63c47de-fb2b-4b14-978b-abb88c1b9915,"2020-06-13, 04:54:20 PM",CloudTrail,DescribeEventAggregates,,,,us-east-1,AccessDenied,78.61.164.62
0a6e6339-5393-49f0-9970-378d4e791cad,"2020-06-13, 04:54:18 PM",CloudTrail,DescribeTrails,,,,us-east-1,,78.61.164.62
47d6d32d-d5fa-41ab-bdd9-bdf3fc239e46,"2020-06-13, 04:54:18 PM",CloudTrail,ListBuckets,,,,us-east-1,,78.61.164.62
ff5dda16-cd3b-4dee-a312-dc0fc4fb52d4,"2020-06-13, 04:54:01 PM",CloudTrail,ListBuckets,,,,us-east-1,,78.61.164.62
bb9edba3-54ef-4e3f-8cf6-13d267226a34,"2020-06-13, 04:54:00 PM",CloudTrail,DescribeEventAggregates,,,,us-east-1,AccessDenied,78.61.164.62
e7b8d9fe-1559-4d9a-8959-c95296bd8f36,"2020-06-13, 04:53:54 PM",CloudTrail,DescribeEventAggregates,,,,us-east-1,AccessDenied,78.61.164.62
2bc54a13-f6a6-4153-ad3d-d12c5974c0c8,"2020-06-13, 04:53:45 PM",CloudTrail,DescribeTrails,,,,us-east-1,,78.61.164.62
f6e59754-bbc7-406b-b9a7-40b33028e33b,"2020-06-13, 04:53:45 PM",CloudTrail,CreateBucket,S3 Bucket,"[{""resourceType"":""AWS::S3::Bucket"",""resourceName"":""udacity-trail""}]",,us-east-1,BucketAlreadyExists,78.61.164.62
3945091e-d3d4-4224-a09d-cfdf3c895f41,"2020-06-13, 04:53:14 PM",CloudTrail,ListFunctions20150331,,,,us-east-1,,78.61.164.62
fec5fb91-6744-40d5-a4f7-17b5d53a0b31,"2020-06-13, 04:53:09 PM",root,DescribeEventAggregates,,,,us-east-1,,78.61.164.62
2b9fe5c1-3870-4f9b-9a86-d8a8064c05f7,"2020-06-13, 04:52:48 PM",CloudTrail,DescribeTrails,,,,us-east-1,,78.61.164.62
df5353f1-3cf0-43cb-9453-9f096c66bac1,"2020-06-13, 04:52:47 PM",CloudTrail,LookupEvents,,,,us-east-1,,78.61.164.62
7b88ec8e-1778-4854-bb42-21b5b0acc9ea,"2020-06-13, 04:52:46 PM",CloudTrail,LookupEvents,,,,us-east-1,,78.61.164.62
ee0ab6b3-d61e-43d2-9f20-c64f9acf48aa,"2020-06-13, 04:52:45 PM",CloudTrail,LookupEvents,,,,us-east-1,,78.61.164.62
0cc9ad4a-51e5-4ba6-b810-1da6f2974202,"2020-06-13, 04:52:38 PM",CloudTrail,LookupEvents,,,,us-east-1,,78.61.164.62
